RMS_s,Mean_s,STD_s, MAX_s, Kurtosis_s, Skewness_s, Var_s,Entropy_s,RMS_v,Mean_v,STD_v, MAX_v, Kurtosis_v, Skewness_v, Var_v,Entropy_v,target
0.742319771,0.585554522,0.456255091,2.289866335,3.664613378,0.988301759,0.551038643,-4446.212187,0.516611403,0.396232186,0.331495995,1.444280165,2.886711876,0.928330956,0.266887342,6709.030081,1
0.717597802,0.576765855,0.42695597,3.713508775,8.868340184,1.544354657,0.514946606,-2399.722999,0.479076987,0.37688645,0.295758537,1.290504919,2.993799876,0.884871078,0.229514759,8236.555537,1
0.957355568,0.65802885,0.695368526,11.67318511,132.9033411,8.589740191,0.916529683,-78473.64072,0.490987224,0.387167389,0.301946504,1.431181379,2.738252359,0.81465915,0.241068455,8229.732605,1
0.812443291,0.643045226,0.496549968,4.70184291,11.93991593,1.831177177,0.660064102,-13355.90391,0.477396352,0.379691388,0.289384522,1.380465569,3.086217362,0.877151471,0.227907277,8564.679851,1
0.719250939,0.579942035,0.42543245,3.726316333,9.139180181,1.553518242,0.517321914,-2276.422403,0.513075088,0.398565755,0.323099787,1.41194714,2.846061951,0.869198028,0.263246046,7301.091655,1
0.7684472,0.619587477,0.454561976,2.733057072,4.335394515,0.989999303,0.5905111,-5084.39104,0.494146008,0.390228851,0.303155999,1.477740601,2.856594721,0.804049116,0.244180278,8276.049775,1
0.940134851,0.755577802,0.559430051,7.15239336,37.17569793,3.382956346,0.883853538,-32563.0108,0.434616371,0.346355192,0.262546853,1.108295903,2.893372273,0.835589125,0.18889139,8956.737467,2
0.963445871,0.774701667,0.572775554,6.519272349,23.03922129,2.549213542,0.928227946,-34393.06644,0.431711358,0.344135204,0.260666487,1.097184437,2.879914564,0.816609231,0.186374697,9007.515335,2
0.896469941,0.732659893,0.51659769,5.785607017,20.98455198,2.356282994,0.803658356,-21467.56473,0.430891978,0.343643514,0.259958427,1.111408112,2.93783194,0.846634862,0.185667897,8966.572967,2
0.883454228,0.692217651,0.548937268,6.644911765,30.6435774,3.046063914,0.780491374,-26205.7938,0.428589799,0.340293001,0.260559488,1.083466541,2.955439044,0.857686699,0.183689215,8869.895707,2
1.031915209,0.664585626,0.789422199,13.93054582,169.2301991,10.37555182,1.064848999,-121091.6394,0.426272317,0.340036153,0.257069689,1.090037068,2.935092234,0.849967136,0.181708089,8972.164809,2
0.900146909,0.614371847,0.657890833,11.18301979,140.4614323,8.898349914,0.810264458,-66064.41673,0.425132516,0.33816356,0.257651685,1.087395628,2.90756838,0.836542035,0.180737656,8936.949129,2
0.849519793,0.600530797,0.600877577,9.912590727,121.9279769,8.061551008,0.721683879,-47806.43158,0.425468476,0.338274612,0.258060154,1.089230673,2.965393703,0.858222299,0.181023424,8898.892098,2
0.851314919,0.636191617,0.565688711,8.677965776,86.61597679,6.263447246,0.724737091,-35731.32088,0.428864652,0.339979841,0.261419134,1.225294078,2.97749641,0.862012223,0.183924889,8831.912668,2
0.903358233,0.764889969,0.480628809,2.152472088,2.462141578,0.411712272,0.816056098,-13008.93117,0.42644877,0.336668778,0.261751901,1.075948921,2.937358411,0.854487639,0.181858554,8768.528186,2
0.941412823,0.7833712,0.522104507,3.892890624,5.649148846,0.962351238,0.886258103,-21623.26197,0.42200091,0.334857603,0.256819923,1.083087373,3.005069811,0.889284024,0.178084768,8811.693297,2
1.276471818,0.87507612,0.929321989,17.86266382,234.702977,12.8653897,1.629380303,-215226.0082,0.419216904,0.332901485,0.254795431,1.067707174,2.960042974,0.85370285,0.175742812,8887.367698,2
1.018823238,0.661430702,0.774933691,14.83329278,235.1147979,12.89799718,1.03800079,-125482.7729,0.400786437,0.317588301,0.244476245,1.058455834,3.054180164,0.891121392,0.160629768,8753.210031,2
0.85238469,0.701566843,0.484116012,3.612222398,6.36758481,1.153380558,0.72655966,-12204.56719,0.329878706,0.255415251,0.20876753,0.941701467,3.143364191,0.977556703,0.10881996,7687.873574,2
0.870618879,0.708378095,0.506145069,3.400806573,4.120411246,0.841637463,0.757977232,-14426.11155,0.504677479,0.394621814,0.314602862,1.376998674,2.927852537,0.872927473,0.254699358,7662.555132,2
0.890982896,0.70868641,0.540018449,2.199686263,2.709676722,0.722167,0.793850521,-18683.65903,0.520538332,0.404673432,0.327416727,1.299862938,2.5480224,0.785008438,0.270960156,7311.963505,2
0.992155641,0.776051295,0.618162475,9.524246696,84.98165799,6.011183887,0.984372815,-53537.17705,0.513123267,0.400350185,0.320963045,1.292580737,2.563177139,0.775551092,0.263295487,7611.308133,2
0.902646138,0.662458657,0.613128124,9.976558255,112.5683238,7.565842906,0.81477005,-51597.19015,0.516383254,0.403304769,0.322488773,1.354778054,2.712806217,0.821207889,0.266651665,7470.270267,2
0.982361829,0.678204097,0.710692666,11.77812294,126.0446043,8.331667774,0.965034762,-83627.38681,0.491618382,0.386055006,0.304387942,1.25797358,2.629951293,0.767276532,0.241688634,8216.106717,2
